epoch,accuracy,dice_coefficient,learning_rate,loss,val_accuracy,val_dice_coefficient,val_loss
1,0.1049,0.0629,1.0000e-04,0.9377,0.1266,0.0424,0.9598
2,0.0584,0.0832,1.0000e-04,0.9172,0.0721,0.0302,0.9724
3,0.0618,0.0881,1.0000e-04,0.9126,0.0525,0.0417,0.9616
4,0.0339,0.0954,1.0000e-04,0.9051,0.0306,0.0291,0.9752
5,0.0228,0.1077,1.0000e-04,0.8930,0.0821,0.0353,0.9694
6,0.0269,0.1227,1.0000e-04,0.8780,0.0339,0.0453,0.9663
7,0.0255,0.1229,1.0000e-04,0.8778,0.0422,0.0520,0.9591
8,0.0264,0.1198,1.0000e-04,0.8813,0.0267,0.0434,0.9651
29,0.0340,0.2525,1.0000e-04,0.7512,0.0390,0.3097,0.6929
36,0.0361,0.2919,1.0000e-04,0.7120,0.0440,0.3049,0.6995
41,0.0342,0.3406,1.0000e-04,0.6633,0.0501,0.3889,0.6200
42,0.0341,0.3448,1.0000e-04,0.6591,0.0369,0.3743,0.6304
43,0.0336,0.3537,1.0000e-04,0.6498,0.0381,0.3234,0.6777
44,0.0373,0.3832,1.0000e-04,0.6225,0.0285,0.3128,0.6914
45,0.0332,0.3637,1.0000e-04,0.6416,0.0270,0.3523,0.6552
46,0.0353,0.3617,1.0000e-04,0.6453,0.0246,0.2391,0.7639
47,0.0343,0.3817,1.9999999494757503e-05,0.6246,0.0475,0.4249,0.5806
48,0.0312,0.3761,1.9999999494757503e-05,0.6293,0.0335,0.3859,0.6221
49,0.0349,0.4001,1.9999999494757503e-05,0.6056,0.0412,0.4414,0.5673
50,0.037742845714092255,0.4311048984527588,1.9999999494757503e-05,0.5732599496841431,0.044891357421875,0.46860992908477783,0.538496732711792
51,0.03304591402411461,0.38554269075393677,1.9999999494757503e-05,0.6194015145301819,0.0343271903693676,0.3972843885421753,0.6110105514526367
52,0.03728092089295387,0.44268569350242615,1.9999999494757503e-05,0.5622015595436096,0.04393768310546875,0.47890689969062805,0.5275848507881165
53,0.03592797368764877,0.41617387533187866,1.9999999494757503e-05,0.5898092985153198,0.04773712158203125,0.4931301176548004,0.5185195207595825
54,0.03717387840151787,0.4152514338493347,1.9999999494757503e-05,0.5901576280593872,0.03351084515452385,0.42613494396209717,0.5808767676353455
55,0.03570232912898064,0.41495224833488464,1.9999999494757503e-05,0.5910541415214539,0.034515380859375,0.4470260441303253,0.5596241354942322
56,0.03506885841488838,0.4217492341995239,1.9999999494757503e-05,0.5842377543449402,0.0393218994140625,0.44851890206336975,0.5586335062980652
57,0.0336507149040699,0.4243340790271759,1.9999999494757503e-05,0.5806342959403992,0.03781382367014885,0.45138731598854065,0.5543734431266785
58,0.035507895052433014,0.42452389001846313,1.9999999494757503e-05,0.5814769268035889,0.03898366168141365,0.45741334557533264,0.547662615776062
59,0.03533126413822174,0.4348292350769043,3.999999989900971e-06,0.5706427693367004,0.06263478845357895,0.5230835676193237,0.4840550124645233
60,0.03668605908751488,0.4377816319465637,3.999999989900971e-06,0.5681254863739014,0.0447235107421875,0.4641083776950836,0.5450258851051331
61,0.03365025296807289,0.42169713973999023,3.999999989900971e-06,0.5832663178443909,0.0477854423224926,0.4619636535644531,0.5473005175590515
62,0.03901071101427078,0.4430602490901947,3.999999989900971e-06,0.5635408759117126,0.0363260917365551,0.45218220353126526,0.5524399876594543
63,0.03765614703297615,0.4444126784801483,3.999999989900971e-06,0.5624762177467346,0.03903961181640625,0.4617949426174164,0.542872428894043
64,0.03683726117014885,0.4409531056880951,3.999999989900971e-06,0.5648311972618103,0.03894297406077385,0.49148669838905334,0.5113828778266907
65,0.036013517528772354,0.44001245498657227,8.000000093488779e-07,0.5647964477539062,0.0344950370490551,0.4603595435619354,0.5444983839988708
66,0.03460231050848961,0.418208509683609,8.000000093488779e-07,0.5868132710456848,0.04477183148264885,0.46917781233787537,0.5373010039329529
67,0.032898642122745514,0.4297639727592468,8.000000093488779e-07,0.5758352279663086,0.03909047320485115,0.46630874276161194,0.5378966927528381
68,0.03568591549992561,0.43791741132736206,8.000000093488779e-07,0.5657563209533691,0.0322519950568676,0.41704022884368896,0.5889046788215637
69,0.03547113761305809,0.4510689377784729,8.000000093488779e-07,0.5550320744514465,0.0320383720099926,0.4364021122455597,0.5681619048118591
